track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613,203,1,116,79,87,81,4,0,10,4
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,148,35,24,93,0,0,10,8
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,124,53,66,78,0,0,16,5
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,117,52,73,91,0,0,11,7
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,84,57,86,90,2,0,9,5
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,50,38,80,0,0,9,7
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,104,77,36,63,1,0,36,5
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296,217,136,129,86,75,52,54,0,10,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101,32,112,64,54,81,36,0,11,6
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,125,45,67,90,9,11,10,5
