track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,50,38,80,0,0,9,7
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,1897517891,537,122,124,79,59,86,4,0,8,11
Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672,533,167,98,82,54,59,69,0,18,10
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,532,77,124,79,68,79,1,0,10,8
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,170,59,48,76,4,0,10,5
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,453,50,117,76,77,52,4,0,8,3
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,110,50,45,41,75,0,11,3
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437,115,95,55,56,82,12,0,34,5
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,104,77,36,63,1,0,36,5
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,174,52,66,73,34,0,31,6
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,120,70,59,75,24,0,9,4
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435,387,132,150,34,33,63,16,0,7,4
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,81,76,53,53,44,0,9,9
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384,135,116,80,92,80,4,0,10,3
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,382,65,111,77,74,66,30,0,13,3
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,90,76,91,50,54,0,7,5
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368,155,96,57,30,40,38,0,26,3
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,363,129,79,78,58,45,47,0,18,3
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105,344,97,126,81,59,90,5,0,36,3
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,336,188,103,61,47,65,3,0,17,4
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,160,65,95,80,5,0,41,16
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679,321,162,71,41,23,40,27,0,30,5
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,128,73,60,77,3,0,11,4
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,95,75,64,52,41,0,11,3
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,124,53,66,78,0,0,16,5
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308,118,120,42,33,26,92,0,13,3
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,148,35,24,93,0,0,10,8
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,102,48,50,73,43,0,15,4
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,118,71,65,68,6,0,3,7
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,1814349763,300,47,150,74,89,70,2,0,5,6
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,128,56,38,97,4,0,35,4
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,289,87,100,61,53,38,84,0,28,44
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,150,91,42,60,0,0,9,12
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,186,68,49,59,16,0,13,28
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776,275,19,179,61,76,51,30,0,38,15
Last Christmas,Wham!,1,1984,1,1,22153,0,1159176109,274,111,107,74,88,65,28,0,46,3
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272,67,91,77,60,32,84,0,8,5
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,117,52,73,91,0,0,11,7
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593,259,55,166,56,68,66,28,0,11,18
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,142,60,13,37,58,0,13,3
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,255,32,120,80,24,62,41,2,11,23
Pepas,Farruko,1,2021,6,24,14114,17,1309887447,252,109,130,76,44,77,1,0,13,3
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,250,121,125,77,74,78,4,0,23,11
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,123,45,13,54,70,0,9,4
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247,54,171,70,6,73,1,0,36,26
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,246,71,99,68,57,77,2,0,10,5
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473,242,49,109,84,72,74,10,0,34,7
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,97,64,51,63,12,0,19,5
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,140,71,82,81,11,0,6,5
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912,240,107,118,75,46,76,3,0,9,4
