track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613,203,1,116,79,87,81,4,0,10,4
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,148,35,24,93,0,0,10,8
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,124,53,66,78,0,0,16,5
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,117,52,73,91,0,0,11,7
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,84,57,86,90,2,0,9,5
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,50,38,80,0,0,9,7
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,104,77,36,63,1,0,36,5
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296,217,136,129,86,75,52,54,0,10,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101,32,112,64,54,81,36,0,11,6
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,125,45,67,90,9,11,10,5
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679,321,162,71,41,23,40,27,0,30,5
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,128,73,60,77,3,0,11,4
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146,72,92,53,12,34,1,0,12,4
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,195,125,105,73,52,76,13,0,5,3
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,93,81,53,78,18,0,6,24
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,138,49,42,62,9,0,11,3
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,85,55,42,53,17,0,22,3
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,150,91,42,60,0,0,9,12
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,363,129,79,78,58,45,47,0,18,3
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247,54,171,70,6,73,1,0,36,26
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,96,83,93,65,58,0,9,8
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,142,40,95,92,31,89,3,0,8,25
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,173,43,28,66,0,0,23,3
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,102,48,50,73,43,0,15,4
The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,124,25,146,56,21,44,73,0,11,2
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,235,106,90,90,79,71,26,0,7,37
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,186,68,49,59,16,0,13,28
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,124,27,123,91,49,61,3,0,17,22
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179,97,122,66,48,71,6,0,12,4
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,95,75,64,52,41,0,11,3
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,1897517891,537,122,124,79,59,86,4,0,8,11
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308,118,120,42,33,26,92,0,13,3
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,532,77,124,79,68,79,1,0,10,8
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,69,113,144,74,37,53,7,0,21,10
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65,82,180,33,38,71,20,0,28,5
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,136,36,12,57,9,0,14,8
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435,387,132,150,34,33,63,16,0,7,4
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576,63,0,105,55,40,90,1,0,32,6
Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672,533,167,98,82,54,59,69,0,18,10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,90,76,91,50,54,0,7,5
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,187,99,129,57,41,66,63,0,12,5
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,174,52,66,73,34,0,31,6
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54,70,92,70,81,63,4,0,8,4
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,336,188,103,61,47,65,3,0,17,4
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78,46,171,55,10,85,7,0,8,20
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,289,87,100,61,53,38,84,0,28,44
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,81,76,53,53,44,0,9,9
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,211,74,117,82,73,45,54,0,7,3
Last Christmas,Wham!,1,1984,1,1,22153,0,1159176109,274,111,107,74,88,65,28,0,46,3
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437,115,95,55,56,82,12,0,34,5
